RUN	activitidatabase.ThroughtSimulation	throughtsimulation	1543672662784	 	3.0.1.1
REQUEST	18		getCurrentSingleTask	1543672671999	1543672672228	OK	 
USER	online shopping	44	START	1543672672306	1543672672306
REQUEST	8		completeTask	1543672671691	1543672672373	OK	 
REQUEST	41		startProcess	1543672671807	1543672672376	OK	 
USER	online shopping	45	START	1543672672479	1543672672479
USER	online shopping	46	START	1543672672649	1543672672649
REQUEST	20		getCurrentSingleTask	1543672672346	1543672672754	OK	 
REQUEST	1		getCurrentSingleTask	1543672672379	1543672672801	OK	 
REQUEST	19		getCurrentSingleTask	1543672672336	1543672672803	OK	 
REQUEST	36		getCurrentSingleTask	1543672672429	1543672672816	OK	 
USER	online shopping	47	START	1543672672818	1543672672818
REQUEST	43		startProcess	1543672672151	1543672672937	OK	 
USER	online shopping	48	START	1543672672979	1543672672979
REQUEST	42		startProcess	1543672671979	1543672673007	OK	 
REQUEST	23		getCurrentSingleTask	1543672672838	1543672673021	OK	 
REQUEST	38		getCurrentSingleTask	1543672672570	1543672673042	OK	 
REQUEST	21		getCurrentSingleTask	1543672672680	1543672673041	OK	 
REQUEST	37		getCurrentSingleTask	1543672672651	1543672673047	OK	 
REQUEST	39		getCurrentSingleTask	1543672672690	1543672673065	OK	 
REQUEST	4		getCurrentSingleTask	1543672672690	1543672673065	OK	 
REQUEST	7		getCurrentSingleTask	1543672672720	1543672673066	OK	 
REQUEST	2		getCurrentSingleTask	1543672672670	1543672673067	OK	 
REQUEST	3		getCurrentSingleTask	1543672672640	1543672673070	OK	 
REQUEST	40		getCurrentSingleTask	1543672672874	1543672673128	OK	 
REQUEST	22		getCurrentSingleTask	1543672672690	1543672673128	OK	 
REQUEST	6		getCurrentSingleTask	1543672672710	1543672673129	OK	 
REQUEST	24		getCurrentSingleTask	1543672672922	1543672673129	OK	 
REQUEST	5		getCurrentSingleTask	1543672672680	1543672673142	OK	 
USER	online shopping	49	START	1543672673146	1543672673146
REQUEST	44		startProcess	1543672672307	1543672673294	OK	 
USER	online shopping	50	START	1543672673317	1543672673317
REQUEST	45		startProcess	1543672672480	1543672673460	OK	 
USER	online shopping	51	START	1543672673476	1543672673476
REQUEST	41		getCurrentSingleTask	1543672673392	1543672673514	OK	 
REQUEST	25		completeTask	1543672671844	1543672673526	OK	 
REQUEST	8		getCurrentSingleTask	1543672673380	1543672673526	OK	 
REQUEST	46		startProcess	1543672672650	1543672673617	OK	 
REQUEST	47		startProcess	1543672672819	1543672673618	OK	 
USER	online shopping	52	START	1543672673646	1543672673646
REQUEST	26		completeTask	1543672671969	1543672673653	OK	 
REQUEST	48		startProcess	1543672672980	1543672673682	OK	 
REQUEST	28		completeTask	1543672672059	1543672673701	OK	 
REQUEST	27		completeTask	1543672671958	1543672673703	OK	 
REQUEST	10		completeTask	1543672672226	1543672673719	OK	 
REQUEST	9		completeTask	1543672672039	1543672673719	OK	 
REQUEST	50		startProcess	1543672673318	1543672673796	OK	 
REQUEST	49		startProcess	1543672673147	1543672673797	OK	 
REQUEST	11		completeTask	1543672672269	1543672673811	OK	 
REQUEST	51		startProcess	1543672673477	1543672673813	OK	 
USER	online shopping	53	START	1543672673820	1543672673820
REQUEST	29		completeTask	1543672672284	1543672673838	OK	 
REQUEST	30		completeTask	1543672672390	1543672673849	OK	 
REQUEST	15		completeTask	1543672672439	1543672673872	OK	 
REQUEST	12		completeTask	1543672672420	1543672673875	OK	 
