RUN	activitidatabase.AdimissionLayerSimulation	adimissionlayersimulation	1543979458757	 	3.0.1.1
REQUEST	17		completeTask	1543979467859	1543979468053	OK	 
USER	leave pass	39	START	1543979468106	1543979468106
REQUEST	43		startProcess	1543979468007	1543979468203	OK	 
REQUEST	22		getCurrentSingleTask	1543979468179	1543979468208	OK	 
REQUEST	39		startProcess	1543979468108	1543979468255	OK	 
REQUEST	5		getCurrentSingleTask	1543979468229	1543979468267	OK	 
REQUEST	23		getCurrentSingleTask	1543979468230	1543979468267	OK	 
REQUEST	6		getCurrentSingleTask	1543979468229	1543979468273	OK	 
USER	online shopping	44	START	1543979468279	1543979468279
USER	leave pass	40	START	1543979468308	1543979468308
REQUEST	24		getCurrentSingleTask	1543979468280	1543979468340	OK	 
REQUEST	34		getCurrentSingleTask	1543979468309	1543979468352	OK	 
REQUEST	18		completeTask	1543979468158	1543979468400	OK	 
REQUEST	44		startProcess	1543979468284	1543979468412	OK	 
REQUEST	40		startProcess	1543979468310	1543979468449	OK	 
REQUEST	25		getCurrentSingleTask	1543979468429	1543979468474	OK	 
USER	leave pass	41	START	1543979468508	1543979468508
USER	online shopping	45	START	1543979468511	1543979468511
REQUEST	35		getCurrentSingleTask	1543979468476	1543979468524	OK	 
REQUEST	1		completeTask	1543979468237	1543979468606	OK	 
REQUEST	7		getCurrentSingleTask	1543979468514	1543979468621	OK	 
REQUEST	8		getCurrentSingleTask	1543979468569	1543979468628	OK	 
REQUEST	19		completeTask	1543979468338	1543979468682	OK	 
USER	leave pass	46	START	1543979468714	1543979468714
REQUEST	26		getCurrentSingleTask	1543979468675	1543979468734	OK	 
REQUEST	9		getCurrentSingleTask	1543979468677	1543979468739	OK	 
REQUEST	36		getCurrentSingleTask	1543979468696	1543979468756	OK	 
USER	online shopping	51	START	1543979468764	1543979468764
REQUEST	45		startProcess	1543979468512	1543979468797	OK	 
REQUEST	41		startProcess	1543979468511	1543979468822	OK	 
REQUEST	10		getCurrentSingleTask	1543979468820	1543979468912	OK	 
USER	leave pass	47	START	1543979468919	1543979468919
REQUEST	28		getCurrentSingleTask	1543979468859	1543979468953	OK	 
REQUEST	42		getCurrentSingleTask	1543979468861	1543979468975	OK	 
REQUEST	51		startProcess	1543979468765	1543979468979	OK	 
REQUEST	20		completeTask	1543979468557	1543979469000	OK	 
REQUEST	46		startProcess	1543979468718	1543979469013	OK	 
USER	online shopping	52	START	1543979469015	1543979469015
REQUEST	2		completeTask	1543979468473	1543979469021	OK	 
USER	leave pass	48	START	1543979469116	1543979469116
REQUEST	29		getCurrentSingleTask	1543979469105	1543979469143	OK	 
REQUEST	27		completeTask	1543979468696	1543979469179	OK	 
REQUEST	52		startProcess	1543979469016	1543979469194	OK	 
REQUEST	47		startProcess	1543979468920	1543979469194	OK	 
REQUEST	21		completeTask	1543979468832	1543979469246	OK	 
REQUEST	3		completeTask	1543979468841	1543979469245	OK	 
REQUEST	4		completeTask	1543979468875	1543979469246	OK	 
REQUEST	33		completeTask	1543979468906	1543979469248	OK	 
REQUEST	43		getCurrentSingleTask	1543979469228	1543979469252	OK	 
USER	online shopping	53	START	1543979469266	1543979469266
REQUEST	48		startProcess	1543979469118	1543979469298	OK	 
USER	leave pass	49	START	1543979469317	1543979469317
REQUEST	11		getCurrentSingleTask	1543979469347	1543979469404	OK	 
REQUEST	12		getCurrentSingleTask	1543979469384	1543979469420	OK	 
REQUEST	22		completeTask	1543979469207	1543979469430	OK	 
REQUEST	53		startProcess	1543979469267	1543979469449	OK	 
REQUEST	44		getCurrentSingleTask	1543979469441	1543979469486	OK	 
REQUEST	30		getCurrentSingleTask	1543979469440	1543979469489	OK	 
REQUEST	49		startProcess	1543979469320	1543979469506	OK	 
USER	online shopping	54	START	1543979469517	1543979469517
USER	leave pass	50	START	1543979469516	1543979469516
REQUEST	31		getCurrentSingleTask	1543979469496	1543979469534	OK	 
REQUEST	23		completeTask	1543979469284	1543979469565	OK	 
USER	leave pass	1	END	1543979461546	1543979469621
REQUEST	6		completeTask	1543979469281	1543979469623	OK	 
REQUEST	5		completeTask	1543979469267	1543979469623	OK	 
REQUEST	34		completeTask	1543979469348	1543979469626	OK	 
REQUEST	14		getCurrentSingleTask	1543979469605	1543979469664	OK	 
REQUEST	13		getCurrentSingleTask	1543979469596	1543979469666	OK	 
REQUEST	50		startProcess	1543979469518	1543979469674	OK	 
REQUEST	54		startProcess	1543979469518	1543979469675	OK	 
REQUEST	24		completeTask	1543979469337	1543979469694	OK	 
REQUEST	25		completeTask	1543979469464	1543979469713	OK	 
USER	leave pass	55	START	1543979469735	1543979469735
USER	online shopping	60	START	1543979469764	1543979469764
REQUEST	32		getCurrentSingleTask	1543979469736	1543979469790	OK	 
REQUEST	15		getCurrentSingleTask	1543979469764	1543979469821	OK	 
REQUEST	16		getCurrentSingleTask	1543979469818	1543979469883	OK	 
REQUEST	35		completeTask	1543979469555	1543979469891	OK	 
REQUEST	45		getCurrentSingleTask	1543979469819	1543979469890	OK	 
USER	leave pass	56	START	1543979469914	1543979469914
REQUEST	37		getCurrentSingleTask	1543979469859	1543979469929	OK	 
REQUEST	60		startProcess	1543979469765	1543979469991	OK	 
USER	online shopping	61	START	1543979470024	1543979470024
USER	leave pass	2	END	1543979461854	1543979470024
REQUEST	55		startProcess	1543979469737	1543979470033	OK	 
REQUEST	51		getCurrentSingleTask	1543979469984	1543979470054	OK	 
REQUEST	17		getCurrentSingleTask	1543979470034	1543979470100	OK	 
USER	leave pass	57	START	1543979470119	1543979470119
REQUEST	36		completeTask	1543979469736	1543979470176	OK	 
REQUEST	38		getCurrentSingleTask	1543979470059	1543979470195	OK	 
USER	leave pass	3	END	1543979462069	1543979470236
REQUEST	26		completeTask	1543979469747	1543979470241	OK	 
USER	leave pass	4	END	1543979462265	1543979470251
REQUEST	27		getCurrentSingleTask	1543979470186	1543979470265	OK	 
REQUEST	56		startProcess	1543979469915	1543979470266	OK	 
USER	online shopping	62	START	1543979470266	1543979470266
REQUEST	61		startProcess	1543979470025	1543979470267	OK	 
REQUEST	8		completeTask	1543979469682	1543979470272	OK	 
REQUEST	52		getCurrentSingleTask	1543979470206	1543979470283	OK	 
REQUEST	7		completeTask	1543979469619	1543979470312	OK	 
USER	leave pass	58	START	1543979470314	1543979470314
REQUEST	33		getCurrentSingleTask	1543979470254	1543979470335	OK	 
REQUEST	39		getCurrentSingleTask	1543979470284	1543979470365	OK	 
REQUEST	42		completeTask	1543979469968	1543979470428	OK	 
REQUEST	57		startProcess	1543979470120	1543979470447	OK	 
REQUEST	18		getCurrentSingleTask	1543979470396	1543979470457	OK	 
REQUEST	9		completeTask	1543979469746	1543979470466	OK	 
REQUEST	62		startProcess	1543979470267	1543979470514	OK	 
REQUEST	28		completeTask	1543979469967	1543979470515	OK	 
USER	online shopping	63	START	1543979470518	1543979470518
USER	leave pass	59	START	1543979470516	1543979470516
REQUEST	10		completeTask	1543979469914	1543979470558	OK	 
REQUEST	53		getCurrentSingleTask	1543979470472	1543979470561	OK	 
REQUEST	40		getCurrentSingleTask	1543979470472	1543979470583	OK	 
REQUEST	58		startProcess	1543979470315	1543979470592	OK	 
USER	leave pass	6	END	1543979462663	1543979470614
USER	leave pass	5	END	1543979462467	1543979470614
REQUEST	34		getCurrentSingleTask	1543979470627	1543979470678	OK	 
REQUEST	29		completeTask	1543979470119	1543979470683	OK	 
REQUEST	63		startProcess	1543979470519	1543979470708	OK	 
REQUEST	43		completeTask	1543979470253	1543979470712	OK	 
USER	leave pass	64	START	1543979470727	1543979470727
REQUEST	19		getCurrentSingleTask	1543979470689	1543979470727	OK	 
REQUEST	54		getCurrentSingleTask	1543979470689	1543979470733	OK	 
REQUEST	59		startProcess	1543979470521	1543979470754	OK	 
USER	online shopping	69	START	1543979470774	1543979470774
REQUEST	44		completeTask	1543979470477	1543979470812	OK	 
REQUEST	11		completeTask	1543979470413	1543979470865	OK	 
REQUEST	30		completeTask	1543979470488	1543979470866	OK	 
REQUEST	31		completeTask	1543979470540	1543979470867	OK	 
REQUEST	12		completeTask	1543979470414	1543979470871	OK	 
REQUEST	41		getCurrentSingleTask	1543979470836	1543979470878	OK	 
REQUEST	64		startProcess	1543979470728	1543979470900	OK	 
REQUEST	35		getCurrentSingleTask	1543979470869	1543979470918	OK	 
USER	leave pass	65	START	1543979470923	1543979470923
REQUEST	69		startProcess	1543979470776	1543979470928	OK	 
REQUEST	13		completeTask	1543979470657	1543979471002	OK	 
REQUEST	20		getCurrentSingleTask	1543979470976	1543979471015	OK	 
USER	online shopping	70	START	1543979471025	1543979471025
REQUEST	14		completeTask	1543979470656	1543979471050	OK	 
REQUEST	46		getCurrentSingleTask	1543979471025	1543979471092	OK	 
REQUEST	60		getCurrentSingleTask	1543979471045	1543979471117	OK	 
REQUEST	32		completeTask	1543979470774	1543979471134	OK	 
USER	leave pass	66	START	1543979471141	1543979471141
REQUEST	45		completeTask	1543979470888	1543979471190	OK	 
REQUEST	65		startProcess	1543979470925	1543979471216	OK	 
USER	leave pass	8	END	1543979463169	1543979471224
REQUEST	70		startProcess	1543979471026	1543979471224	OK	 
REQUEST	36		getCurrentSingleTask	1543979471177	1543979471244	OK	 
USER	online shopping	71	START	1543979471276	1543979471276
USER	leave pass	7	END	1543979462863	1543979471313
REQUEST	47		getCurrentSingleTask	1543979471211	1543979471315	OK	 
USER	leave pass	67	START	1543979471325	1543979471325
REQUEST	21		getCurrentSingleTask	1543979471243	1543979471391	OK	 
REQUEST	37		completeTask	1543979470924	1543979471439	OK	 
REQUEST	15		completeTask	1543979470819	1543979471440	OK	 
REQUEST	61		getCurrentSingleTask	1543979471294	1543979471440	OK	 
REQUEST	16		completeTask	1543979470886	1543979471442	OK	 
USER	leave pass	9	END	1543979463263	1543979471474
REQUEST	66		startProcess	1543979471142	1543979471479	OK	 
REQUEST	48		getCurrentSingleTask	1543979471316	1543979471530	OK	 
USER	leave pass	68	START	1543979471532	1543979471532
REQUEST	22		getCurrentSingleTask	1543979471437	1543979471590	OK	 
USER	leave pass	10	END	1543979463463	1543979471608
REQUEST	42		getCurrentSingleTask	1543979471437	1543979471613	OK	 
REQUEST	49		getCurrentSingleTask	1543979471531	1543979471639	OK	 
REQUEST	62		getCurrentSingleTask	1543979471536	1543979471656	OK	 
REQUEST	51		completeTask	1543979471071	1543979471699	OK	 
USER	leave pass	72	START	1543979471713	1543979471713
REQUEST	71		startProcess	1543979471278	1543979471744	OK	 
REQUEST	23		getCurrentSingleTask	1543979471606	1543979471810	OK	 
USER	leave pass	11	END	1543979463665	1543979471870
USER	leave pass	12	END	1543979463713	1543979471870
USER	leave pass	73	START	1543979471945	1543979471945
REQUEST	43		getCurrentSingleTask	1543979471712	1543979471998	OK	 
USER	leave pass	13	END	1543979463915	1543979472052
USER	leave pass	14	END	1543979464114	1543979472054
REQUEST	50		getCurrentSingleTask	1543979471712	1543979472089	OK	 
REQUEST	67		startProcess	1543979471326	1543979472098	OK	 
REQUEST	63		getCurrentSingleTask	1543979471734	1543979472097	OK	 
REQUEST	44		getCurrentSingleTask	1543979471821	1543979472108	OK	 
REQUEST	25		getCurrentSingleTask	1543979471737	1543979472113	OK	 
USER	leave pass	74	START	1543979472116	1543979472116
REQUEST	24		getCurrentSingleTask	1543979471734	1543979472120	OK	 
REQUEST	55		getCurrentSingleTask	1543979472054	1543979472158	OK	 
REQUEST	69		getCurrentSingleTask	1543979471952	1543979472223	OK	 
REQUEST	38		completeTask	1543979471200	1543979472248	OK	 
REQUEST	27		completeTask	1543979471244	1543979472251	OK	 
REQUEST	17		completeTask	1543979471105	1543979472252	OK	 
REQUEST	68		startProcess	1543979471535	1543979472260	OK	 
REQUEST	52		completeTask	1543979471313	1543979472272	OK	 
REQUEST	45		getCurrentSingleTask	1543979472204	1543979472308	OK	 
USER	leave pass	75	START	1543979472316	1543979472316
REQUEST	26		getCurrentSingleTask	1543979472238	1543979472333	OK	 
REQUEST	72		startProcess	1543979471732	1543979472359	OK	 
REQUEST	70		getCurrentSingleTask	1543979472251	1543979472362	OK	 
REQUEST	56		getCurrentSingleTask	1543979472286	1543979472368	OK	 
REQUEST	53		completeTask	1543979471559	1543979472383	OK	 
REQUEST	33		completeTask	1543979471376	1543979472385	OK	 
REQUEST	39		completeTask	1543979471376	1543979472399	OK	 
REQUEST	34		completeTask	1543979471711	1543979472430	OK	 
REQUEST	73		startProcess	1543979471946	1543979472445	OK	 
USER	leave pass	16	END	1543979464514	1543979472460
USER	leave pass	15	END	1543979464318	1543979472465
REQUEST	40		completeTask	1543979471604	1543979472465	OK	 
REQUEST	74		startProcess	1543979472119	1543979472493	OK	 
REQUEST	35		completeTask	1543979471907	1543979472505	OK	 
REQUEST	18		completeTask	1543979471474	1543979472516	OK	 
USER	leave pass	76	START	1543979472517	1543979472517
REQUEST	57		getCurrentSingleTask	1543979472459	1543979472529	OK	 
REQUEST	54		completeTask	1543979471736	1543979472573	OK	 
REQUEST	75		startProcess	1543979472319	1543979472610	OK	 
REQUEST	28		getCurrentSingleTask	1543979472518	1543979472610	OK	 
REQUEST	60		completeTask	1543979472099	1543979472614	OK	 
REQUEST	19		completeTask	1543979471735	1543979472618	OK	 
REQUEST	46		completeTask	1543979472099	1543979472644	OK	 
REQUEST	41		completeTask	1543979471901	1543979472645	OK	 
REQUEST	58		getCurrentSingleTask	1543979472630	1543979472692	OK	 
USER	leave pass	77	START	1543979472722	1543979472722
REQUEST	36		completeTask	1543979472275	1543979472727	OK	 
REQUEST	29		getCurrentSingleTask	1543979472691	1543979472756	OK	 
REQUEST	20		completeTask	1543979472054	1543979472755	OK	 
REQUEST	51		getCurrentSingleTask	1543979472694	1543979472765	OK	 
REQUEST	47		completeTask	1543979472328	1543979472802	OK	 
REQUEST	71		getCurrentSingleTask	1543979472754	1543979472824	OK	 
REQUEST	59		getCurrentSingleTask	1543979472792	1543979472854	OK	 
REQUEST	76		startProcess	1543979472518	1543979472869	OK	 
REQUEST	61		completeTask	1543979472461	1543979472898	OK	 
USER	leave pass	78	START	1543979472917	1543979472917
REQUEST	30		getCurrentSingleTask	1543979472864	1543979472923	OK	 
REQUEST	31		getCurrentSingleTask	1543979472864	1543979472923	OK	 
REQUEST	64		getCurrentSingleTask	1543979472917	1543979472968	OK	 
REQUEST	21		completeTask	1543979472408	1543979472971	OK	 
REQUEST	77		startProcess	1543979472723	1543979472986	OK	 
REQUEST	48		completeTask	1543979472539	1543979472997	OK	 
REQUEST	42		completeTask	1543979472630	1543979473018	OK	 
REQUEST	22		completeTask	1543979472589	1543979473039	OK	 
REQUEST	49		completeTask	1543979472662	1543979473042	OK	 
REQUEST	62		completeTask	1543979472694	1543979473051	OK	 
REQUEST	78		startProcess	1543979472920	1543979473070	OK	 
USER	leave pass	79	START	1543979473117	1543979473117
REQUEST	32		getCurrentSingleTask	1543979473127	1543979473172	OK	 
REQUEST	23		completeTask	1543979472792	1543979473192	OK	 
USER	leave pass	17	END	1543979464713	1543979473290
REQUEST	65		getCurrentSingleTask	1543979473239	1543979473299	OK	 
REQUEST	52		getCurrentSingleTask	1543979473253	1543979473325	OK	 
USER	leave pass	80	START	1543979473326	1543979473326
REQUEST	27		getCurrentSingleTask	1543979473291	1543979473363	OK	 
REQUEST	79		startProcess	1543979473118	1543979473391	OK	 
REQUEST	43		completeTask	1543979473050	1543979473407	OK	 
REQUEST	33		getCurrentSingleTask	1543979473348	1543979473422	OK	 
REQUEST	53		getCurrentSingleTask	1543979473379	1543979473464	OK	 
REQUEST	34		getCurrentSingleTask	1543979473412	1543979473491	OK	 
REQUEST	50		completeTask	1543979473074	1543979473493	OK	 
REQUEST	63		completeTask	1543979473094	1543979473500	OK	 
USER	leave pass	18	END	1543979464914	1543979473505
REQUEST	37		getCurrentSingleTask	1543979473468	1543979473518	OK	 
REQUEST	44		completeTask	1543979473118	1543979473545	OK	 
USER	leave pass	81	START	1543979473552	1543979473552
USER	online shopping	82	START	1543979473556	1543979473556
USER	online shopping	83	START	1543979473559	1543979473559
USER	online shopping	84	START	1543979473559	1543979473559
REQUEST	66		getCurrentSingleTask	1543979473505	1543979473560	OK	 
USER	online shopping	85	START	1543979473561	1543979473561
USER	online shopping	86	START	1543979473562	1543979473562
USER	online shopping	87	START	1543979473562	1543979473562
USER	online shopping	88	START	1543979473563	1543979473563
REQUEST	35		getCurrentSingleTask	1543979473505	1543979473587	OK	 
USER	online shopping	89	START	1543979473585	1543979473585
USER	online shopping	90	START	1543979473593	1543979473593
USER	online shopping	92	START	1543979473595	1543979473595
USER	online shopping	91	START	1543979473595	1543979473595
USER	online shopping	94	START	1543979473596	1543979473596
USER	online shopping	95	START	1543979473596	1543979473596
USER	online shopping	96	START	1543979473597	1543979473597
USER	online shopping	93	START	1543979473596	1543979473596
USER	online shopping	97	START	1543979473598	1543979473598
USER	online shopping	98	START	1543979473598	1543979473598
USER	online shopping	99	START	1543979473599	1543979473599
USER	online shopping	100	START	1543979473599	1543979473599
USER	online shopping	104	START	1543979473600	1543979473600
USER	online shopping	105	START	1543979473601	1543979473601
USER	online shopping	106	START	1543979473602	1543979473602
USER	online shopping	107	START	1543979473603	1543979473603
USER	online shopping	108	START	1543979473604	1543979473604
USER	online shopping	109	START	1543979473604	1543979473604
USER	online shopping	110	START	1543979473605	1543979473605
USER	online shopping	111	START	1543979473606	1543979473606
USER	online shopping	112	START	1543979473609	1543979473609
USER	online shopping	102	START	1543979473600	1543979473600
USER	online shopping	101	START	1543979473599	1543979473599
USER	online shopping	113	START	1543979473610	1543979473610
USER	online shopping	116	START	1543979473610	1543979473610
USER	online shopping	115	START	1543979473610	1543979473610
USER	online shopping	117	START	1543979473611	1543979473611
USER	online shopping	118	START	1543979473612	1543979473612
USER	online shopping	119	START	1543979473613	1543979473613
USER	online shopping	120	START	1543979473614	1543979473614
USER	online shopping	121	START	1543979473615	1543979473615
USER	online shopping	122	START	1543979473616	1543979473616
USER	online shopping	103	START	1543979473600	1543979473600
USER	online shopping	114	START	1543979473610	1543979473610
USER	leave pass	19	END	1543979465115	1543979473743
USER	leave pass	20	END	1543979465317	1543979473743
REQUEST	80		startProcess	1543979473327	1543979473765	OK	 
USER	leave pass	123	START	1543979473814	1543979473814
REQUEST	24		completeTask	1543979473074	1543979473826	OK	 
USER	online shopping	128	START	1543979473889	1543979473889
USER	leave pass	21	END	1543979465513	1543979473955
USER	leave pass	124	START	1543979474021	1543979474021
REQUEST	55		completeTask	1543979473158	1543979474045	OK	 
USER	leave pass	22	END	1543979465840	1543979474046
REQUEST	25		completeTask	1543979473096	1543979474064	OK	 
REQUEST	69		completeTask	1543979473216	1543979474069	OK	 
REQUEST	54		getCurrentSingleTask	1543979473617	1543979474181	OK	 
USER	leave pass	23	END	1543979465913	1543979474191
USER	online shopping	129	START	1543979474190	1543979474190
USER	leave pass	125	START	1543979474250	1543979474250
REQUEST	60		getCurrentSingleTask	1543979473742	1543979474342	OK	 
REQUEST	36		getCurrentSingleTask	1543979473743	1543979474359	OK	 
USER	online shopping	130	START	1543979474392	1543979474392
REQUEST	83		startProcess	1543979473560	1543979474427	OK	 
USER	leave pass	126	START	1543979474432	1543979474432
REQUEST	62		getCurrentSingleTask	1543979474025	1543979474447	OK	 
REQUEST	99		startProcess	1543979473599	1543979474448	OK	 
REQUEST	109		startProcess	1543979473605	1543979474450	OK	 
REQUEST	45		completeTask	1543979473291	1543979474451	OK	 
REQUEST	97		startProcess	1543979473598	1543979474462	OK	 
REQUEST	61		getCurrentSingleTask	1543979473890	1543979474464	OK	 
REQUEST	82		startProcess	1543979473557	1543979474465	OK	 
REQUEST	85		startProcess	1543979473561	1543979474522	OK	 
REQUEST	67		getCurrentSingleTask	1543979474191	1543979474524	OK	 
REQUEST	95		startProcess	1543979473597	1543979474538	OK	 
REQUEST	92		startProcess	1543979473595	1543979474546	OK	 
REQUEST	84		startProcess	1543979473560	1543979474547	OK	 
REQUEST	121		startProcess	1543979473616	1543979474549	OK	 
REQUEST	111		startProcess	1543979473609	1543979474540	OK	 
REQUEST	119		startProcess	1543979473614	1543979474555	OK	 
REQUEST	91		startProcess	1543979473595	1543979474558	OK	 
REQUEST	108		startProcess	1543979473604	1543979474593	OK	 
REQUEST	89		startProcess	1543979473591	1543979474622	OK	 
REQUEST	112		startProcess	1543979473610	1543979474623	OK	 
REQUEST	68		getCurrentSingleTask	1543979474291	1543979474625	OK	 
USER	online shopping	131	START	1543979474626	1543979474626
USER	leave pass	127	START	1543979474626	1543979474626
REQUEST	38		getCurrentSingleTask	1543979474276	1543979474637	OK	 
