RUN	activitiadmissiondatabase.ProcessTestWithRTLSimulation	processtestwithrtlsimulation	1545051428424	1	3.0.1.1
REQUEST	3		getCurrentSingleTask	1545051432369	1545051432375	OK	 
REQUEST	63		getCurrentSingleTask	1545051432368	1545051432375	OK	 
REQUEST	64		startProcessInstanceById	1545051432339	1545051432408	OK	 
USER	auto online shopping	66	START	1545051432408	1545051432408
REQUEST	4		completeTask	1545051432337	1545051432413	OK	 
REQUEST	64		getCurrentSingleTask	1545051432409	1545051432416	OK	 
REQUEST	4		getCurrentSingleTask	1545051432414	1545051432420	OK	 
USER	auto online shopping	67	START	1545051432438	1545051432438
REQUEST	65		startProcessInstanceById	1545051432368	1545051432468	OK	 
REQUEST	5		completeTask	1545051432378	1545051432470	OK	 
REQUEST	65		getCurrentSingleTask	1545051432468	1545051432474	OK	 
REQUEST	5		getCurrentSingleTask	1545051432470	1545051432477	OK	 
USER	auto online shopping	68	START	1545051432478	1545051432478
REQUEST	66		startProcessInstanceById	1545051432409	1545051432500	OK	 
REQUEST	67		startProcessInstanceById	1545051432439	1545051432501	OK	 
REQUEST	67		getCurrentSingleTask	1545051432501	1545051432507	OK	 
REQUEST	6		completeTask	1545051432418	1545051432508	OK	 
REQUEST	66		getCurrentSingleTask	1545051432501	1545051432508	OK	 
USER	auto online shopping	69	START	1545051432508	1545051432508
REQUEST	6		getCurrentSingleTask	1545051432509	1545051432513	OK	 
REQUEST	68		startProcessInstanceById	1545051432483	1545051432534	OK	 
REQUEST	7		completeTask	1545051432458	1545051432537	OK	 
REQUEST	68		getCurrentSingleTask	1545051432535	1545051432542	OK	 
REQUEST	7		getCurrentSingleTask	1545051432537	1545051432542	OK	 
USER	auto online shopping	70	START	1545051432548	1545051432548
REQUEST	69		startProcessInstanceById	1545051432509	1545051432568	OK	 
REQUEST	8		completeTask	1545051432489	1545051432569	OK	 
REQUEST	69		getCurrentSingleTask	1545051432569	1545051432575	OK	 
REQUEST	8		getCurrentSingleTask	1545051432569	1545051432576	OK	 
USER	auto online shopping	71	START	1545051432588	1545051432588
REQUEST	70		startProcessInstanceById	1545051432549	1545051432601	OK	 
REQUEST	70		getCurrentSingleTask	1545051432602	1545051432615	OK	 
USER	auto online shopping	72	START	1545051432619	1545051432619
REQUEST	9		completeTask	1545051432573	1545051432644	OK	 
REQUEST	9		getCurrentSingleTask	1545051432645	1545051432654	OK	 
USER	auto online shopping	73	START	1545051432666	1545051432666
REQUEST	71		startProcessInstanceById	1545051432588	1545051432668	OK	 
REQUEST	71		getCurrentSingleTask	1545051432669	1545051432684	OK	 
USER	auto online shopping	74	START	1545051432687	1545051432687
REQUEST	12		completeTask	1545051432619	1545051432706	OK	 
REQUEST	10		completeTask	1545051432588	1545051432712	OK	 
